lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gueb,hMin,hMax,sumL1NormOfJumps,normDiffDiscSolJ1DiscSol
0,1,4,0.035031,69093.3399592044,69092.7361389061,0.603820298307155,-30.3832492066883,0,1,1.4142135623731,0.853930855102147,0.246508604531276
1,6,5,0.016055,13438.2237622954,13437.6484241981,0.575338097318134,-46.3265381278832,-27.9302355956362,0.5,1,0.983248939378933,0.18962505139554
2,17,11,0.003936,4574.9022220898,4574.23833481188,0.663887277922115,-73.5955453025427,-42.6317504573108,0.353553390593274,0.707106781186548,1.40109009183783,0.245210831905537
3,28,15,0.005088,1886.27198106149,1885.68456859954,0.587412461948524,-82.7904413466451,-67.206356794053,0.25,0.5,1.46793940772573,0.173301899065526
4,59,17,0.015195,826.010212498943,825.549049056426,0.461163442516934,-83.4840996965781,-72.0321558974245,0.176776695296637,0.5,1.54476313166878,0.147837111012988
5,102,30,0.008639,334.374516064948,334.041689741022,0.332826323925527,-87.1448058104257,-82.7175235773132,0.125,0.353553390593274,1.47551865785256,0.0890707863607797
6,214,30,0.013039,131.278075746636,131.056761891446,0.221313855189706,-88.3155505856765,-85.7087627161059,0.0883883476483184,0.25,1.38019121368466,0.065586459284583
7,392,53,0.033507,60.8789151527134,60.6966091832421,0.182305969471204,-90.1268700361655,-88.0630661659759,0.0441941738241592,0.25,1.58913821463081,0.055261622563926
8,744,71,0.064712,28.24373913584,28.0970533757284,0.146685760111508,-90.4552405582985,-88.7135066532668,0.0441941738241592,0.176776695296637,1.7714119634767,0.0471145625059523
9,1356,148,0.259414,13.4805205531679,13.365579093083,0.114941460084904,-90.5992284136016,-89.0911950800266,0.0220970869120796,0.125,1.92291214439531,0.0388570865229812
10,2583,255,0.777491,6.63284454442265,6.54479142388448,0.0880531205381875,-91.0365295975063,-89.6637819807966,0.0220970869120796,0.125,2.0251314026537,0.0337334489597558
11,4734,417,2.411958,3.28840619619112,3.21898837516453,0.0694178210265971,-91.2999671203702,-90.035539801276,0.0110485434560398,0.0883883476483184,2.24202084884841,0.0280371916137973
12,9031,658,7.255445,1.63195059056734,1.5777131636526,0.0542374269147469,-91.5371701784944,-90.3327761047638,0.0078125,0.0625,2.33712871648707,0.0234099650606047
13,17466,1258,28.895347,0.809799823106107,0.768403837065503,0.0413959860406007,-91.7750507392714,-90.6846374678217,0.0055242717280199,0.0625,2.49027403788748,0.0187651233017308
14,33986,2036,250.557844,0.408387391409218,0.37619913819711,0.0321882532121101,-91.8636635244659,-90.9192735622388,0.00390625,0.0441941738241592,2.56064503617134,0.0151104607352819
15,66229,3478,1003.459766,0.209985189552952,0.186647713247461,0.0233374763054899,-91.9488353172755,-91.1663753492946,0.00276213586400995,0.03125,2.52960553542506,0.0106432412411792
16,128826,6416,4014.794678,0.109838937156753,0.0918962450615087,0.0179426920952442,-92.0265348535858,-91.2415746194816,0.001953125,0.03125,2.72085999932788,0.00856794687919169
17,251444,10747,14098.43926,0.0601578254180407,0.0457832105775241,0.0143746148405165,-92.0733396648324,-91.2604578473972,0.0009765625,0.015625,3.2975250308846,0.00797290667709169
18,490162,18440,38879.854253,0.0337616250749434,0.0228595524566293,0.0109020726183141,-92.0917180242096,-91.1669861242718,0.000690533966002488,0.015625,3.70874135063368,0.00625115833223603
19,955258,32572,97787.359492,0.0200327890259001,0.0119236527191018,0.00810913630679835,-92.0893560020267,-91.1981185992929,0.00048828125,0.0110485434560398,4.04998323343815,0.00466044980047115
