lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,hMin,hMax,sumL1NormOfJumps,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,5,0.057477,12588844.4083315,12588843.1388143,1.26951718812951,-2660.54401817695,-2545.67043360175,-2660.54401817695,114.873584575199,1,1.4142135623731,1.18610792819991,0.151443551136475,0
1,40,26,0.016335,1117009.72772008,1117007.77980283,1.94791725449164,-3489.88825253461,-2953.06539660535,-3489.88825253461,536.822855929266,0.5,0.707106781186548,2.75530294125601,0.327213102843651,0
2,176,59,0.02416,172913.772090594,172912.839112056,0.932978538156357,-3612.78326876809,-3455.15005526582,-3612.78326876809,157.633213502271,0.25,0.353553390593274,2.63900429919133,0.1766261345187,0
3,736,76,0.067319,22425.986953724,22425.5203585675,0.466595156472252,-3786.87749750591,-3712.04829320633,-3786.87749750591,74.829204299584,0.125,0.176776695296637,2.63959526211614,0.121140301136051,0
4,3008,101,0.318486,2628.61815299343,2628.37362553499,0.244527458431816,-3853.40351303202,-3810.23291534354,-3853.40351303202,43.1705976884746,0.0625,0.0883883476483184,2.76654433403909,0.0912222715193431,0
5,12160,95,1.423415,349.885362707162,349.775923176947,0.109439530213476,-3887.16843094815,-3868.87059613074,-3887.16843094815,18.2978348174051,0.03125,0.0441941738241592,2.4763447090018,0.0585383810631862,0
6,48896,113,10.851466,41.8110683217622,41.756515264064,0.0545530576987372,-3906.78641892958,-3896.03556049768,-3906.78641892958,10.750858431898,0.015625,0.0220970869120796,2.46879184991545,0.0432248393655783,0
7,196096,312,130.945148,5.3152278013413,5.29007127445572,0.0251565268855821,-3914.94361522414,-3909.2357724193,-3914.94361522414,5.70784280484031,0.0078125,0.0110485434560398,2.27690897232648,0.0294536512003869,0
8,785408,994,2815.29938,0.682870771969221,0.670719710415773,0.0121510615534471,-3919.47204626649,-3916.00824061384,-3919.47204626649,3.46380565265326,0.00390625,0.0055242717280199,2.19957709492246,0.0207735777147779,0
9,3143680,3274,49110.245394,0.0905775822824798,0.0846311026936356,0.00594647958884419,-3921.63640372847,-3919.38668715515,-3921.63640372847,2.24971657332208,0.001953125,0.00276213586400995,2.1528555732874,0.014460017347048,0
