lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gleb,diffGlebExactE
0,8,63,0.084879,2.02322507144511,77.0221730595297,77.0221540295232,1.90300065300554e-05,3.36480760100107e-05,-11268.7778028202,11266.7197517302
1,33,305,0.15678,0.791999248485323,26.5870976450423,20.9394197881799,5.64767785686236,-2.91321075356737,-7422.65295699699,7420.59490590699
2,121,2354,1.323138,0.588535916728055,10.0977450989435,5.4236158349789,4.67412926396464,-2.57810345724332,-5189.4752992419,5187.4172481519
3,384,7425,6.476557,0.468052816558887,4.22779523916229,1.78211833944387,2.44567689971843,-2.44165871442833,-3898.41209376056,3896.35404267056
4,705,11806,14.976049,0.344215435398639,2.69003314546413,1.0296865011745,1.66034664428963,-2.270403336342,-3453.7346925531,3451.6766414631
5,1426,20739,50.336932,0.250618483071284,1.6802554052468,0.48186528268522,1.19839012256158,-2.19120120966781,-2800.80384346464,2798.74579237464
6,2642,32747,147.975045,0.210254529719435,1.11224667837774,0.290858893324586,0.821387785053156,-2.16775807323655,-2510.12587014188,2508.06781905188
7,5811,56853,568.41407,0.132570036718534,0.682328561129929,0.137285587958807,0.545042973171122,-2.12356456003833,-2045.6489239945,2043.5908729045
8,11538,107028,2196.411276,0.0991819673373815,0.464528712807356,0.0923528586057041,0.372175854201653,-2.10507096760342,-1872.74115102909,1870.68309993909
9,23404,161822,6872.228925,0.0686555821220455,0.313953587737325,0.065376464125336,0.248577123611992,-2.08984500757661,-1728.01894957651,1725.96089848651
10,45002,230357,31065.349902,0.0511347873887191,0.21230156326229,0.0287424392455777,0.183559124016713,-2.08176140844471,-1397.35831874143,1395.30026765143
11,89317,292561,76063.06577,0.0371514118404422,0.147315817161096,0.0191196468412651,0.12819617031983,-2.07483098598019,-1269.23159218908,1267.17354109908
